NameID,year,Maker,Type,Name,Sales,Model,Nippyo,price,kata,capacity,FuelType,FuelEfficiency,HH,size,hppw,share,share0,hppw_sum_own,FuelEfficiency_sum_own,size_sum_own,hppw_sqr_sum_own,FuelEfficiency_sqr_sum_own,size_sqr_sum_own,group_n,hppw_sum_mkt,FuelEfficiency_sum_mkt,size_sum_mkt,hppw_sqr_sum_mkt,FuelEfficiency_sqr_sum_mkt,size_sqr_sum_mkt,mkt_n,iv_BLP_own_hppw,iv_BLP_other_hppw,iv_BLP_own_FuelEfficiency,iv_BLP_other_FuelEfficiency,iv_BLP_own_size,iv_BLP_other_size,iv_GH_own_hppw,iv_GH_other_hppw,iv_GH_own_FuelEfficiency,iv_GH_other_FuelEfficiency,iv_GH_own_size,iv_GH_other_size,logit_share
14,2011,Audi,Foreign,A1シリーズ,4206,1.4 TFSI,0,2.9980373831775706,DBA-8XCAX,4,ハイオク,19.4,53783435,9.947232,0.10252100840336134,7.820251718768056e-05,0.9389811007794501,0.29906098344895116,49.4,33.139717499999996,0.02994281879179969,831.48,369.0742923421942,3,16.021957727130758,2513.9,1844.750029365,1.819955281766739,43068.89,22207.674376698942,160,0.19653997504558982,15.722896743681806,30.0,2464.5,23.192485499999997,1811.610311865,0.00015442308935109325,0.21631547936117723,43.839999999999975,5703.330000000002,6.619648953746321,1332.3295934361013,-9.393248794888427
14,2012,Audi,Foreign,A1シリーズ,4502,1.4 TFSI,0,2.835,DBA-8XCAX,4,ハイオク,19.4,54171475,9.947232,0.10252100840336134,8.310646885653381e-05,0.9197618488328037,0.30998383543140573,49.8,33.179137499999996,0.03237690406629354,842.36,370.05068238019413,3,16.495104683102713,2709.1,1924.543923125,1.8478951756189759,48757.65,23198.86759103786,167,0.2074628270280444,16.185120847671307,30.4,2659.2999999999997,23.231905499999996,1891.364785625,0.0003488647640811464,0.220619825588527,39.200000000000216,6457.490000000005,6.811799220866192,1428.5058819125188,-9.311747512476876
14,2013,Audi,Foreign,A1シリーズ,5071,1.4 TFSI,0,2.823260869565218,DBA-8XCAX,4,ハイオク,19.4,54594744,9.947232,0.10252100840336134,9.288439927477268e-05,0.9195631909181587,0.31182836771072064,52.7,33.54557325,0.03271446076404958,947.05,378.1203036252755,3,15.850302804604652,2814.9,1891.172852125,1.7281824034877762,54138.71,22804.643189078004,164,0.2093073593073593,15.538474436893932,33.300000000000004,2762.2000000000003,23.598341249999997,1857.627278875,0.0003082148432213584,0.20162750949406627,31.370000000000005,6612.259999999995,7.5913776292595685,1400.5591988097513,-9.200298342381247
15,2006,Audi,Foreign,A3シリーズ,4830,アトラクション,0,2.918888888888889,GH-8PBSE,5,ハイオク,12.2,51102005,10.815125749999998,0.075,9.451683940776884e-05,0.9152275336359111,0.16343537414965986,23.4,22.420219249999995,0.013445815400990328,274.28,251.64514013205525,2,16.324308027334435,2414.4,1863.32285775,1.7760149708034658,38911.12,22009.511367786446,165,0.08843537414965986,16.160872653184775,11.2,2391.0,11.605093499999997,1840.9026385,0.00018050927854134854,0.2553132574247594,1.0,4557.360000000001,0.6240490460401134,1004.2912029808358,-9.178149970568484
15,2007,Audi,Foreign,A3シリーズ,3874,アトラクション,0,2.9394444444444447,GH-8PBSE,5,ハイオク,12.2,51713048,10.815125749999998,0.075,7.491339516479477e-05,0.9201741889203668,0.31268910549294343,35.4,33.110987249999994,0.0357224917208834,418.28,365.93766056187917,3,16.366041457452244,2417.4,1872.269921125,1.785285944973674,38762.92,22237.87679725573,165,0.23768910549294342,16.0533523519593,23.2,2382.0,22.295861499999994,1839.158933875,0.005694125896941887,0.25281060045889525,1.0400000000000205,4335.919999999998,0.6395138960251927,1039.1139366124553,-9.415985551701917
15,2008,Audi,Foreign,A3シリーズ,3683,1.4 TFSI,0,3.0294219066937127,ABA-8PCAX,5,ハイオク,15.8,52324877,10.827745499999999,0.09057971014492754,7.038716975865992e-05,0.9235641012591391,0.34579370638887336,40.0,33.883253499999995,0.041708937947650675,542.48,384.41938831019417,3,16.37378048906398,2448.6,1872.2713685,1.8357273977530044,39436.96,22275.939130751853,165,0.2552139962439458,16.027986782675104,24.2,2408.6,23.055507999999996,1838.3881150000002,0.0036792022281792874,0.21955645601260443,27.400000000000034,3224.4000000000087,2.3811149285364763,1073.2142268209718,-9.481984488621293
15,2009,Audi,Foreign,A3シリーズ,4338,1.4 TFSI,0,3.073055555555556,ABA-8PCAX,5,ハイオク,15.8,52877802,10.827745499999999,0.09057971014492754,8.203820574841595e-05,0.9291896626111653,0.1965399750455898,29.200000000000003,23.192485499999997,0.019432261627757606,429.20000000000005,270.1268678803702,2,16.69709338780471,2451.2,1912.1876505,1.894771883858094,39451.98,23050.60415813513,166,0.10596026490066225,16.50055341275912,13.400000000000002,2422.0,12.364739999999998,1888.995165,0.00023656146459415453,0.23167708946311505,5.759999999999934,3428.540000000008,2.3623520930302675,1100.731404048056,-9.334883092258062
15,2010,Audi,Foreign,A3シリーズ,4506,1.4 TFSI,0,3.1574611398963732,DBA-8PCAX,5,ハイオク,16.6,53362801,10.827745499999999,0.09057971014492754,8.444084484995456e-05,0.9249569564386247,0.32519851163095564,42.0,34.989126125,0.035985280664045535,599.1200000000001,409.2875979157706,3,17.14363156037787,2569.6,1952.225655375,1.946219010977117,42192.38,23463.32984749878,170,0.2346188014860281,16.818433048746915,25.4,2527.6,24.161380625,1917.23652925,0.0016865584876751862,0.23359835863816825,31.400000000000205,3695.459999999992,3.3011098562790266,1114.4359718710257,-9.30145125357322
15,2011,Audi,Foreign,A3シリーズ,3739,1.4 TFSI,0,3.1640186915887853,DBA-8PCAX,5,ハイオク,16.6,53783435,10.827745499999999,0.09057971014492754,6.951954630640457e-05,0.9389811007794501,0.29906098344895116,49.4,33.139717499999996,0.02994281879179969,831.48,369.0742923421942,3,16.021957727130758,2513.9,1844.750029365,1.819955281766739,43068.89,22207.674376698942,160,0.2084812733040236,15.722896743681806,32.8,2464.5,22.311971999999997,1811.610311865,0.0003791560686910271,0.22979697433273039,18.08000000000004,3678.9300000000076,3.1376561167125203,1013.9806804619802,-9.510942676173958
15,2012,Audi,Foreign,A3シリーズ,3603,1.4 TFSI,0,3.167307692307692,DBA-8PCAX,5,ハイオク,16.6,54171475,10.827745499999999,0.09057971014492754,6.651101894493366e-05,0.9197618488328037,0.30998383543140573,49.8,33.179137499999996,0.03237690406629354,842.36,370.05068238019413,3,16.495104683102713,2709.1,1924.543923125,1.8478951756189759,48757.65,23198.86759103786,167,0.21940412528647818,16.185120847671307,33.199999999999996,2659.2999999999997,22.351391999999997,1891.364785625,0.0008344638101315076,0.22899931941731122,15.680000000000064,4818.37000000001,3.260386699492443,1097.7557243328702,-9.534502423195459
15,2013,Audi,Foreign,A3シリーズ,4604,1.4 TFSI,0,3.1852173913043482,DBA-8VCXS,5,ハイオク,19.5,54594744,11.19418125,0.09242424242424242,8.433046228772499e-05,0.9195631909181587,0.31182836771072064,52.7,33.54557325,0.03271446076404958,947.05,378.1203036252755,3,15.850302804604652,2814.9,1891.172852125,1.7281824034877762,54138.71,22804.643189078004,164,0.21940412528647824,15.538474436893932,33.2,2762.2000000000003,22.351391999999997,1857.627278875,0.0007001812230320696,0.1985052208258864,32.49999999999977,6686.109999999986,3.0189310075271294,1012.1506872247337,-9.296910888334493
