"","NameID","year","Maker","Type","Name","Sales","Model","Nippyo","price","kata","capacity","FuelType","FuelEfficiency","HH","size","hppw","share","share0"
"26",69,2007,"Audi","Foreign","TT",3238,"クーペ 2.0 TFSI",0,4.57361111111111,"ABA-8JBWA",4,"ハイオク",12,51713048,10.690768,0.149253731343284,6.26147582714521e-05,0.920174188920367
"27",69,2008,"Audi","Foreign","TT",2907,"クーペ 2.0 TFSI",0,4.44788032454361,"ABA-8JBWA",4,"ハイオク",12,52324877,10.690768,0.149253731343284,5.55567478925942e-05,0.923564101259139
"28",1,2006,"BMW","Foreign","1シリーズ",8821,"116i",0,3.03194444444444,"GH-UF16",5,"ハイオク",11.6,51102005,10.6106,0.0851851851851852,0.000172615536317998,0.915227533635911
"29",1,2007,"BMW","Foreign","1シリーズ",8100,"116i",0,3.03194444444444,"ABA-UE16",5,"ハイオク",11.8,51713048,10.6106,0.083941605839416,0.00015663358307559,0.920174188920367
"30",1,2008,"BMW","Foreign","1シリーズ",7220,"116i",0,3.00915821501014,"ABA-UE16",5,"ハイオク",11.8,52324877,10.6106,0.083941605839416,0.00013798407973324,0.923564101259139
"31",1,2009,"BMW","Foreign","1シリーズ",5350,"116i",0,3.0525,"ABA-UE16",5,"ハイオク",11.8,52877802,10.6106,0.083941605839416,0.000101176671450905,0.929189662611165
"32",1,2010,"BMW","Foreign","1シリーズ",5856,"116i",0,3.09534715025907,"LBA-UE16",5,"ハイオク",13.6,53362801,10.388,0.0877697841726619,0.000109739366942151,0.924956956438625
"33",1,2011,"BMW","Foreign","1シリーズ",5279,"116i",0,3.19514018691589,"DBA-1A16",5,"ハイオク",16.6,53783435,11.017836,0.0971428571428571,9.81528978206766e-05,0.93898110077945
"34",1,2012,"BMW","Foreign","1シリーズ",10436,"116i",0,3.19846153846154,"DBA-1A16",5,"ハイオク",16.6,54171475,11.017836,0.0971428571428571,0.000192647514212969,0.919761848832804
"35",1,2013,"BMW","Foreign","1シリーズ",8246,"116i",0,3.18521739130435,"DBA-1A16",5,"ハイオク",16.6,54594744,11.017836,0.0951048951048951,0.000151040180717763,0.919563190918159
"36",1,2014,"BMW","Foreign","1シリーズ",7723,"116i ヤングライン",0,3.01109879032258,"DBA-1A16",5,"ハイオク",16.6,55952365,11.017836,0.0951048951048951,0.000138028124459082,0.918813422810635
"37",1,2015,"BMW","Foreign","1シリーズ",8080,"118i",0,2.97702,"DBA-1R15",5,"ハイオク",18.1,56412140,11.030544,0.0951048951048951,0.000143231581003663,0.92791704055191
"38",1,2016,"BMW","Foreign","1シリーズ",7724,"118i",0,3.1,"DBA-1R15",5,"ハイオク",18.1,56950757,11.030544,0.0951048951048951,0.000135625940845703,0.930048041328055
"39",4,2015,"BMW","Foreign","2シリーズ",8182,"218i",0,3.67632,"DBA-2D15",7,"ハイオク",16.5,56412140,13.516965,0.086624203821656,0.000145039702447026,0.92791704055191
"40",4,2016,"BMW","Foreign","2シリーズ",9864,"218i",0,3.81,"DBA-2D15",7,"ハイオク",16.9,56950757,13.516965,0.086624203821656,0.00017320226314112,0.930048041328055
"41",7,2006,"BMW","Foreign","3シリーズ",22789,"320i",0,4.49138888888889,"ABA-VR20",5,"ハイオク",11.4,51102005,11.90866875,0.0974025974025974,0.000445951191151893,0.915227533635911
"42",7,2007,"BMW","Foreign","3シリーズ",23330,"320i",0,4.49138888888889,"ABA-VR20",5,"ハイオク",11.4,51713048,11.90866875,0.101298701298701,0.000451143394216485,0.920174188920367
"43",7,2008,"BMW","Foreign","3シリーズ",17809,"320i",0,4.42761663286004,"ABA-VR20",5,"ハイオク",11.4,52324877,11.90866875,0.101298701298701,0.000340354359552532,0.923564101259139
"44",7,2009,"BMW","Foreign","3シリーズ",14042,"320i スタイルエッセンス",0,4.35777777777778,"ABA-VR20",5,"ハイオク",11.4,52877802,11.83635,0.101298701298701,0.000265555667385721,0.929189662611165
"45",7,2010,"BMW","Foreign","3シリーズ",11664,"320i",0,4.81383419689119,"LBA-US20",5,"ハイオク",13,53362801,11.713905,0.109677419354839,0.00021857923087658,0.924956956438625
"46",7,2011,"BMW","Foreign","3シリーズ",8912,"320i",0,4.82383177570093,"LBA-US20",5,"ハイオク",13,53783435,11.713905,0.109677419354839,0.0001657015770748,0.93898110077945
"47",7,2012,"BMW","Foreign","3シリーズ",11107,"320i",0,4.82884615384615,"LBA-US20",5,"ハイオク",13,54171475,11.713905,0.109677419354839,0.00020503410697235,0.919761848832804
"48",7,2013,"BMW","Foreign","3シリーズ",18739,"320i",0,4.87090062111801,"DBA-3B20",5,"ハイオク",16.4,54594744,12.1545,0.115,0.000343238169593762,0.919563190918159
"49",7,2014,"BMW","Foreign","3シリーズ",15835,"320i",0,5.02521169354839,"DBA-3B20",5,"ハイオク",16.4,55952365,12.1545,0.115,0.000283008591325854,0.918813422810635
"50",7,2015,"BMW","Foreign","3シリーズ",12050,"320i SE",0,4.48551,"DBA-8A20",5,"ハイオク",15.4,56412140,12.20706,0.110843373493976,0.000213606503848285,0.92791704055191
"51",7,2016,"BMW","Foreign","3シリーズ",11947,"320i SE",0,4.49,"DBA-8A20",5,"ハイオク",15.4,56950757,12.20706,0.110843373493976,0.000209777720777267,0.930048041328055
"52",11,2006,"BMW","Foreign","5シリーズ",8092,"525i",0,6.45444444444444,"ABA-NE25",5,"ハイオク",8.8,51102005,13.16748825,0.134567901234568,0.000158349951239682,0.915227533635911
"53",11,2007,"BMW","Foreign","5シリーズ",7236,"525i",0,6.50583333333333,"ABA-NU25",5,"ハイオク",8.8,51713048,13.16748825,0.134567901234568,0.000139926000880861,0.920174188920367
"54",11,2008,"BMW","Foreign","5シリーズ",4105,"525i",0,6.53504056795132,"ABA-NU25",5,"ハイオク",8.8,52324877,13.16748825,0.134567901234568,7.84521672167524e-05,0.923564101259139
"55",11,2009,"BMW","Foreign","5シリーズ",2864,"525i",0,6.54694444444444,"ABA-NU25",5,"ハイオク",8.8,52877802,13.16748825,0.134567901234568,5.41626143991386e-05,0.929189662611165
"56",11,2010,"BMW","Foreign","5シリーズ",6049,"523i",0,6.31492227979275,"DBA-FP25",5,"ハイオク",11.2,53362801,13.470585,0.115254237288136,0.000113356118619036,0.924956956438625
"57",11,2011,"BMW","Foreign","5シリーズ",9257,"523i",0,6.32803738317757,"DBA-XG20",5,"ハイオク",14.2,53783435,13.470585,0.105142857142857,0.000172116191537413,0.93898110077945
"58",11,2012,"BMW","Foreign","5シリーズ",7265,"523i",0,6.33461538461538,"DBA-XG20",5,"ハイオク",14.2,54171475,13.470585,0.105142857142857,0.000134111171977503,0.919761848832804
"59",11,2013,"BMW","Foreign","5シリーズ",6360,"523i Mスポーツ",0,6.82546583850932,"DBA-XG20",5,"ハイオク",14.2,54594744,13.452264,0.105142857142857,0.000116494730701549,0.919563190918159
"60",11,2014,"BMW","Foreign","5シリーズ",4508,"523i",0,6.37466733870968,"DBA-XG20",5,"ハイオク",14.2,55952365,13.4843025,0.105142857142857,8.05685336089011e-05,0.918813422810635
"61",71,2010,"BMW","Foreign","X1",3829,"sドライブ 18i",0,3.757896373057,"ABA-VL18",5,"ハイオク",10.8,53362801,12.43107,0.0961538461538462,7.17541045118677e-05,0.924956956438625
"62",71,2011,"BMW","Foreign","X1",5874,"sドライブ 18i",0,3.76570093457944,"ABA-VL18",5,"ハイオク",10.8,53783435,12.43107,0.0961538461538462,0.000109215783633009,0.93898110077945
"63",71,2012,"BMW","Foreign","X1",5438,"sドライブ 18i",0,3.81115384615385,"CBA-VL18",5,"ハイオク",12,54171475,12.472785,0.0955414012738854,0.00010038493506038,0.919761848832804
"64",71,2013,"BMW","Foreign","X1",4363,"sドライブ 18i",0,3.79537267080745,"CBA-VL18",5,"ハイオク",12,54594744,12.472785,0.0955414012738854,7.99161179325248e-05,0.919563190918159
"65",71,2016,"BMW","Foreign","X1",5891,"sドライブ 18i",0,3.67,"CBA-VL18",5,"ハイオク",12,56950757,12.472785,0.0955414012738854,0.000103440240487058,0.930048041328055
"66",72,2013,"BMW","Foreign","X3",3502,"xドライブ20i 4WD",0,5.65686335403727,"DBA-WX20",5,"ハイオク",13.4,54594744,14.64285,0.0994594594594595,6.41453690120793e-05,0.919563190918159
"67",233,2006,"BMW","Foreign","ミニ",13184,"ワン",0,2.27138888888889,"GH-RA16",4,"ハイオク",11.8,51102005,8.9751675,0.079646017699115,0.000257993791045968,0.915227533635911
"68",233,2007,"BMW","Foreign","ミニ",14013,"ワン",0,2.37416666666667,"ABA-ME14",4,"ハイオク",14.2,51713048,8.915335,0.0811965811965812,0.000270976098720772,0.920174188920367
"69",233,2008,"BMW","Foreign","ミニ",12744,"ワン",0,2.34045638945233,"ABA-ME14",4,"ハイオク",14.2,52324877,8.915335,0.0811965811965812,0.000243555278687038,0.923564101259139
"70",233,2009,"BMW","Foreign","ミニ",11002,"ワン",0,2.41527777777778,"ABA-ME14",4,"ハイオク",14.2,52877802,8.915335,0.0811965811965812,0.000208064624168758,0.929189662611165
"71",233,2010,"BMW","Foreign","ミニ",11338,"ワン",0,2.41105803108808,"CBA-SR16",4,"ハイオク",15.4,53362801,9.011717,0.0837606837606838,0.000212470106282464,0.924956956438625
"72",233,2011,"BMW","Foreign","ミニ",14350,"ワン",0,2.38598130841121,"CBA-SR16",4,"ハイオク",15.4,53783435,8.915335,0.0837606837606838,0.000266810775473898,0.93898110077945
"73",233,2012,"BMW","Foreign","ミニ",16212,"ワン",0,2.41857692307692,"CBA-SR16",4,"ハイオク",15.4,54171475,9.011717,0.0837606837606838,0.000299271895402516,0.919761848832804
"74",233,2013,"BMW","Foreign","ミニ",16982,"ワン",0,2.40856211180124,"CBA-SR16",4,"ハイオク",15.4,54594744,9.011717,0.0837606837606838,0.000311055584398381,0.919563190918159
"75",233,2014,"BMW","Foreign","ミニ",17596,"ワン 3ドア",0,2.41693548387097,"DBA-XM12",4,"ハイオク",19.2,55952365,9.360755625,0.085,0.000314481791788426,0.918813422810635
"76",233,2015,"BMW","Foreign","ミニ",21083,"ワン 3ドア",0,2.3976,"DBA-XM12",4,"ハイオク",19.2,56412140,9.360755625,0.085,0.000373731611670821,0.92791704055191
"77",233,2016,"BMW","Foreign","ミニ",24548,"ワン 3ドア",0,2.4,"DBA-XM12",4,"ハイオク",19.2,56950757,9.360755625,0.085,0.00043103904659248,0.930048041328055
"78",83,2006,"Daihatsu","KEI","アトレーワゴン",20228,"カスタムターボR",0,1.37105555555556,"TA-S320G",4,"レギュラー",14.6,51102005,9.389296875,0.065979381443299,0.000395835740691583,0.915227533635911
"79",83,2007,"Daihatsu","KEI","アトレーワゴン",20127,"カスタムターボR",0,1.40291666666667,"ABA-S321G",4,"レギュラー",15.2,51713048,9.389296875,0.065979381443299,0.000389205447723754,0.920174188920367
"80",83,2008,"Daihatsu","KEI","アトレーワゴン",19369,"カスタムターボR",0,1.38299695740365,"ABA-S321G",4,"レギュラー",15.2,52324877,9.389296875,0.065979381443299,0.000370168094231736,0.923564101259139
"81",83,2009,"Daihatsu","KEI","アトレーワゴン",12516,"カスタムターボR",0,1.40291666666667,"ABA-S321G",4,"レギュラー",15.2,52877802,9.389296875,0.065979381443299,0.000236696676612995,0.929189662611165
"82",83,2010,"Daihatsu","KEI","アトレーワゴン",11615,"カスタムターボR",0,1.4130932642487,"ABA-S321G",4,"レギュラー",15.2,53362801,9.389296875,0.065979381443299,0.000217660988222863,0.924956956438625
"83",83,2011,"Daihatsu","KEI","アトレーワゴン",11377,"カスタムターボR",0,1.41602803738318,"ABA-S321G",4,"レギュラー",15.2,53783435,9.389296875,0.065979381443299,0.000211533532583034,0.93898110077945
"84",83,2012,"Daihatsu","KEI","アトレーワゴン",10017,"カスタムターボR",0,1.4175,"ABA-S321G",4,"レギュラー",15.2,54171475,9.389296875,0.065979381443299,0.000184912816200777,0.919761848832804
"85",83,2013,"Daihatsu","KEI","アトレーワゴン",9477,"カスタムターボR",0,1.41163043478261,"ABA-S321G",4,"レギュラー",15.2,54594744,9.389296875,0.065979381443299,0.000173588138814242,0.919563190918159
"86",83,2014,"Daihatsu","KEI","アトレーワゴン",7158,"カスタムターボR",0,1.41390725806452,"ABA-S321G",4,"レギュラー",15.2,55952365,9.389296875,0.065979381443299,0.000127930249239688,0.918813422810635
"87",83,2015,"Daihatsu","KEI","アトレーワゴン",4627,"カスタムターボR",0,1.402596,"ABA-S321G",4,"レギュラー",14.8,56412140,9.389296875,0.0653061224489796,8.2021352141578e-05,0.92791704055191
"88",83,2016,"Daihatsu","KEI","アトレーワゴン",4284,"カスタムターボR",0,1.404,"ABA-S321G",4,"レギュラー",14.8,56950757,9.389296875,0.0653061224489796,7.52228807072749e-05,0.930048041328055
